week_number,start_date,start_time,type,name,distance,moving_time,elapsed_time,average_speed,max_speed,total_elevation_gain,average_heartrate,max_heartrate,average_cadence,average_temp,pr_count,average_watts,total_photo_count,achievement_count,kudos_count,comment_count,athlete_count,start_latlng,end_latlng,map.id,map.summary_polyline,date,month
02,2013-01-19,10:36:37,Ride,"01/19/2013 Celbridge, County Kildare, Ireland",47.7184,124.7,149.0,22.960800000000003,37.1592,108.8,154.5,181.0,87.5,,0,80.8,0,0,0,0,1,"[53.3389243, -6.5523134]","[53.3387536, -6.5523268]",a38811816,cwpdIzv~f@vBSnAjHwBrS{OcLc[vhASfm@cVfOjH~\{Jnd@rDfEvBzO{@zEf@rIsDbQSbLoKz|@_Njf@?fh@wGnZoAfTbGnd@wBfTnAvVzObcAbGfT?bQnFr{@rNrv@bBbt@jHfkAjWvpBgEbj@_l@rdDsN~_AsIjfEzJrq@b[fuAr]fiBbo@r`A~f@cLnZgOvL{Jn_@sb@zJ_b@jMkM~MoFvLg@bLrDfEfJ~HjCvQoAnPoKbGkH~C_NnFcGnAoZfJoZnF{@~C{ErD{OnAoPrIcGc[kdUgJ~CoAoAgEcQ{nBw`EoKoZ_g@swBwBwo@wLc~@wGcy@g@gYjCsg@cBsI{OkW~C_XSwG{EwVoUgc@cGcVoKsXgJkRcLsNbB{ToAwGoA?,2013-01-19,1
02,2013-01-18,16:23:52,Ride,"01/18/2013 Celbridge, County Kildare, Ireland",34.262800000000006,90.56666666666666,101.36666666666666,22.698,38.412,85.6,156.2,180.0,92.0,,0,81.3,0,0,0,0,1,"[53.3384156, -6.5521103]","[53.3387198, -6.5523582]",a38811813,_tpdIru~f@bB~HwBrSgOcLw[ngAg@vo@oUrNjHj\{Jrb@rDnFbB~Mg@rIz@jH{EjR?nKcLb~@gEfJcGfY?ve@cGb[cBrSbGjf@wBjRz@nUnPzfAbGzT?fOfE~u@fOr{@bBzw@~HfkAjWnoB{Erl@cj@j~C{O~dAgEfsBrDkqBnPgkAjk@g`DrDsb@_XwuBkH_jAcB_v@sNsv@wBkk@wBkMRsNwGkWoPseA{@wVvBkRoFsg@nA{ObG_]?kf@vG{YfEoKvL_jArDwQ{@cGz@_IwBgO_DsDfJkf@{EcQ{@sInUsNR{m@v[whAfObLjCwQcBsI{@f@,2013-01-18,1
02,2013-01-17,16:43:16,Ride,"01/17/2013 Celbridge, County Kildare, Ireland",34.1955,88.06666666666666,93.7,23.299200000000003,36.0396,86.4,149.7,183.0,92.0,,0,84.6,0,0,0,0,1,"[53.338714, -6.5521112]","[53.3388287, -6.552362]",a38811814,{updIru~f@z@?bB~HkCrSsNwLk\jiA?rl@cVnPjHj\{Jzc@~CjCjCvQ{@zEf@fJwBjHsNjsA{EvLcGfY?be@cGv[oA~RbGve@kCfTnArSnPzfAvGfTSjRnFnx@rNnx@bB~u@rI~nAbVvkBsDbj@oi@vxCcQnlA{EvpBrDooBrN{aArl@geDfEsg@sXcuBwG{fAoAwt@{O_{@{Es{@RoKwG_X{OccAoA_XvBkRoFwe@nAgTbGc[?ce@vGc[rDsIbLk_ARwLrDgOg@kHz@kHkCoP_D_DzJkf@kHoZbV{OR{m@b[chAz@g@~MvLvBgTcBwG{@z@,2013-01-17,1
02,2013-01-16,16:41:06,Ride,"01/16/2013 Celbridge, County Kildare, Ireland",34.246,88.63333333333334,94.48333333333333,23.184,36.4032,86.1,153.2,177.0,93.0,,0,83.9,0,1,0,0,1,"[53.3388427, -6.5524132]","[53.3387308, -6.5524376]",a38811818,ovpdInw~f@nA{@bB~HwBrSgOcLw[bhASzm@oUfObGnZsIjf@jCrDvBrN?~R_DfOcLjiAsNzh@?~f@kHf^{@~MbGfh@wBvQz@nUnPzfAvGjWSrNzEzw@fOvy@nAju@rIjnAvVfnBsDfh@cj@n|CcQjiAgEjqBrDcpB~Mk_Arl@{eDzEoi@_XgsBwG{fAcBsv@gOg|@{Ect@?kRwGcVgO{aAcBsXvBgToFgh@rIsl@Rgh@jMwe@bLkiAfE_S{@cGz@kHwBgO_D{EfJce@kHoZbV{OSwVz@kWb[{fAz@{@jMjMjCkRoAkHcBg@Rz@,2013-01-16,1
02,2013-01-15,17:40:18,Ride,"01/15/2013 Celbridge, County Kildare, Ireland",27.9972,68.13333333333334,72.7,24.6564,36.018,32.8,156.6,173.0,93.8,,0,90.7,0,0,0,0,1,"[53.3388298, -6.5522928]","[53.3387946, -6.5523819]",a38811817,ovpdIzv~f@bBSbB~HkC~RgOwLw[vhA{@zTf@~WcVfOvG~\sI~a@jCzEvBnPg@vGf@~H_D~M{@zO{Jf|@_Njf@?rg@cGnZcBjRbGjf@wBrSz@jRbQ~iAnFrS?bQbGz|@jMbt@fEffAzh@g@b[bLn_@~WfYbLzT~CzYkCbQnF~z@od@jMsDbQw[fTbBrSwG_DoPotBwjE{h@kvBsDoUkCwo@oK_{@kHkz@g@gYjCsg@{@wGoPgYvBoUSoK{EcV{O_XkW{w@kMwVgJoKvBgToAkHcB?,2013-01-15,1
02,2013-01-13,20:07:07,Ride,"01/13/2013 Celbridge, Co. Kildare, Ireland",39.597199999999994,97.6,1111.65,24.3432,43.5204,106.1,153.0,173.0,87.0,,0,86.9,0,0,0,0,1,"[53.3388668, -6.5523418]","[53.3388648, -6.5523929]",a37519677,cwpdIzv~f@bBg@bBrIkCrSsNwLw[jiAg@fm@{TfOvGv[gJrb@~CbGbB~M?~RsDfOSjMcLj_AgEzJcGzY?ve@wGj\oAnPbGrg@wBvQnAnZzOzaAbGfTRnUzErv@rNrv@bB~u@~HvmAvVnoBsD~f@cj@n|CwLvy@~iA{J~k@cLbcFvGbj@oZ{E{aFcGcvDwLvBsDoPsrB_gEwGsSkf@gsBsD{w@cL_{@kHkz@SoZjCgh@wB_IgO_XvBgTSoKoF_XcQgY{T{r@sN{YsIoKvBoUwBwGoAf@,2013-01-13,1
02,2013-01-13,11:09:21,Ride,"01/13/2013 Celbridge, Co. Kildare, Ireland",47.8037,121.83333333333333,142.46666666666667,23.540399999999998,40.104000000000006,101.5,155.5,174.0,88.8,,0,84.9,0,0,0,0,1,"[53.3388945, -6.5523024]","[53.3388669, -6.5523744]",a37388665,cwpdIzv~f@bBg@bBjHkCfTkMwL{@f@k\vhAR~k@cVzOjH~\{Jzc@~C~CvBfO?rSkC~H_NbrAgEnKwGzY?rg@cGnZoA~RbGbe@kCnUnA~RbQzfAbGfTSzOzEfw@rNjz@vB~u@jHzkAjWvpBgEvj@oi@~yCwQbmA_IzcEnKfr@nx@~|Dvo@r`Abe@oKv[gObLgJz^ka@bLgc@~MsNzYwG~M~CzEnKjHvBjRoArN{JbGcGrDsNbGsIz@kWnKk\rIsDzEwQbB_S~HoFc[wcUwLnA{EkRgnBo_EkHsScj@{}BkCgr@cL{|@kHkz@?w[vBgc@oA_IoP{Y~CcVSwGcGgY{O{Y{Y_{@gJcQ{JoKvBoUoAcGcBR,2013-01-13,1
01,2013-01-11,15:46:45,Ride,"01/11/2013 Celbridge, Co. Kildare, Ireland",28.033,68.28333333333333,69.28333333333333,24.6312,36.9252,33.2,155.3,176.0,90.2,,0,91.9,0,0,0,0,1,"[53.3387335, -6.5523879]","[53.3387658, -6.552409]",a37158022,{updInw~f@nASnAjHkC~RsNcLk\bhA?zm@cVfOjHr]{Jfc@~CrDvBzOg@vGf@~HkCfJ{Efm@wGve@sDrIcGrX?~f@wGj\oAjRbGjf@wBjRz@rSnPbhAbGrSR~RzEvy@rNnx@rDjdAbj@g@nZnKb[bV~\~M~W~CfT_DrSbGvy@od@rNsDbQk\rSbBzTkH{EoP_rBsgEkf@wkBkHg^wB_q@cL{|@kH{w@Ss]vBce@oAsIoP{Y~CoUg@kH{E_XsN{TwVgw@sN{Y{JcLbB{ToAwGoA?,2013-01-11,1
01,2013-01-10,16:53:28,Ride,"01/10/2013 Celbridge, Co. Kildare, Ireland",27.9969,70.78333333333333,75.41666666666667,23.731199999999998,36.6084,33.3,155.4,185.0,92.1,,0,83.6,0,0,0,0,1,"[53.3389624, -6.5523821]","[53.3388194, -6.5523624]",a37059418,wwpdInw~f@vB{@bBrIkC~RsNwLw[vhASfm@cVzOvG~\sInd@jC~CvBrN?jR_DrNcLzkAcGrNoFrX?be@cGj\oAjRnFrg@wBfTz@~RnPzfAbGfTRfTzEnx@fOz|@~Cj_Abj@{@rb@nPrSbQb`@fOjRvBjWkC~RnFr{@ce@bLkCbQ_]rSvBfTwGkCsNwuBgmEgh@{sBsDcVwBon@wLo}@wGsv@Sg^vBwe@cBsI{OsX~CcVg@kHgEwV{OcVsXkz@wLwV{JwLjCsScB_IoAf@,2013-01-10,1
01,2013-01-09,14:20:04,Ride,"01/09/2013 Celbridge, Kildare, Ireland",47.8076,119.56666666666666,167.58333333333334,23.9904,40.3776,108.5,155.1,179.0,88.5,,0,88.4,0,0,0,0,1,"[53.3388221, -6.5523009]","[53.3389184, -6.5524182]",a36944368,ovpdIzv~f@nAg@vB~HkCrS{OcLw[vhA?zm@cVfOjHj\{Jnd@~C~CvBfO?jRsDnPoKvhAsNzh@Sjf@wGr]{@rNnF~f@cBbVz@~RzO~dAjH~WS~MzEby@rNzw@vBrv@jHnlAjWfnBsDbj@g|@ngF_I~fEzJfr@nZvrA~\jgBvo@nbA~f@cLrX_NjM{JfJ_N~RwQvL{c@rNgOzYcGvL~CzEfJ~H~CnP{@nPoKvGkH~C_NbGsIbBgYrIgYnFoAvB_DzEsSz@_NrI{J?cGsI{dGz@gE{@?cGguFwGcvDcLnAgE{OooB_bEgJsXkf@_rBgEwy@oK_{@_I{|@?gYvBce@oAkHkM_ScBoFjCsSSoK{EwVgOwVoZg|@gJ_S{JcLbB{T_D_IcBvGnAoF,2013-01-09,1
01,2013-01-08,16:44:02,Ride,"01/08/2013 Celbridge, Kildare, Ireland",28.2046,66.75,67.8,25.3512,40.5936,33.4,156.8,170.0,93.5,,0,96.1,0,0,0,0,1,"[53.3389254, -6.5523536]","[53.3388187, -6.5523361]",a36761401,cwpdInw~f@bB{@bB~HkCrSsNwLk\jiAg@vVf@fTcVbQjHj\{Jfc@jC~CjCnPg@bGf@fJgE~RSzJ{Jjz@_Nzh@?~f@wGj\oAnPbGjf@wBzTz@bQbQvhAbGfT?fTfEns@rNnx@fEvhAjk@?~RvGja@zYv[jMjW~CvVkCrSbGby@ce@jM_DjRk\zTbB~RwG_D{OwuB{mEgh@{sB_D_SkCkp@cL_{@kHg|@S_]vBgc@cBgJgO_XjCwVSwG{EkWkWce@_Ik\wQ_b@kMgOjC{TwB_IoA?oAbGbBoF,2013-01-08,1
01,2013-01-07,16:40:42,Ride,"01/07/2013 Celbridge, Kildare, Ireland",16.5699,41.06666666666667,76.38333333333334,24.21,37.0548,24.8,153.3,169.0,89.4,,0,87.1,0,0,0,0,1,"[53.338891, -6.5524263]","[53.3389049, -6.5523687]",a36538793,cwpdInw~f@vBg@wBf@{c@~zYbj@f@nUzJfYfTrXbLnZzEbV_DvQbGf|@we@vLkCvQk\bQvBvV_I_D{OotBoiEc[cmAwQcy@kC{r@cLs{@kHs{@S_]vBce@{@wGcQgYjCkWSwG{E_XsN{TwQsl@sSgc@{JkMbBwVcBwGoAz@,2013-01-07,1
01,2013-01-07,14:02:41,Ride,"01/07/2013 Celbridge, Kildare, Ireland",27.8581,66.88333333333334,70.86666666666666,24.991200000000003,38.484,33.2,166.7,179.0,90.6,,0,96.3,0,0,0,0,1,"[53.3388664573431, -6.55244124121964]","[53.33842188119888, -6.552152736112475]",a36539803,cwpdInw~f@vBSbBjHkC~RgOcLw[vhASrl@oUnPvGj\gJbe@jC~CvB~M?~RsDzOg@~MoKb~@{EjMoFjW?jf@wGb[{@zOnFzh@wBfTz@bQzEb`@jRb~@?fOzEnx@rNvy@rDzfAbj@{@v[jMfYfT~\rNjW~CnU_DjRbGz|@ce@bL_DnPc[fTnAzTkH_DoPcuB_lE{h@kvB_D{TwBon@cLcy@kH{|@g@oUjCwj@{@wGoP{YvB_]oFoZ_N{TcQkk@sS{c@cL_NbBgToAsI,2013-01-07,1
01,2013-01-06,15:09:54,Ride,"01/06/2013 Celbridge, Kildare, Ireland",27.9939,68.6,74.3,24.483600000000003,41.1156,33.0,159.5,173.0,88.0,,0,92.5,0,0,0,0,1,"[53.3388954, -6.5523286]","[53.3388788, -6.5523381]",a36301343,cwpdIzv~f@vBSbBjHkC~R_NwL{@z@c[ngASzm@oUzObGj\gJzc@~C~CvBfO?jR_D~MsDfh@wGjf@gEzJcG~WSni@cGb[oAvQbGjf@wBfTnAnUrXv|AS~MnFnx@~Mzw@fEngAbj@{@j\jMfYzTj\jMbVrDrX_D~RbGvy@ce@zJcBvQ_]nUz@fTwGkCgO{sBoiE_b@{_BcL_g@kCct@wL{|@wGsv@g@oZjCkk@cB_I{OkW~CkWSwG{EwV{OsXgOkf@gTkf@cL_NvBwVcBoFcB?,2013-01-06,1
00,2013-01-05,10:53:39,Ride,"01/05/2013 Celbridge, Kildare, Ireland",66.6067,162.21666666666667,189.53333333333333,24.634800000000002,44.7588,128.1,155.6,178.0,85.4,,0,93.3,0,2,0,0,1,"[53.3390349, -6.5523786]","[53.338837, -6.5523638]",a35970179,wwpdInw~f@vBSbBzEkCnUgOcLc[bhASzm@cVzOjHj\gJrb@jCzEvBrN?~RsDnPsD~f@cGnd@gEfJcGzYS~f@cGzYoAjRbGrg@kC~RnAvVzObcAjHzYSvLnFn}@~Mzr@vBzw@jHzkA~WnoB{Evj@s{@reFsIjfEzJbo@v[jxA~\vfBnn@faAg^bxC{iBfeIwj@~_A{YrNjM~p@nPz^bGbGf@nKjMzYvGrXf@vLrDrIbB~RbQcGfEcGfnBg~DzTg^jdAnFnU{JzTwB~HkHnF?zEsDrNkk@~`CspCbGg^jCgm@wBcuBf@wBoAw[wQo~LoU{}Q{@oA{JbBoF_S_wB_qEoi@wzB_Dku@cL{|@_Io}@SoZjC{c@oA_I{OsXvBoUScLgEoUoPsX{Yg|@cV{^bBgToAkHoA?,2013-01-05,1
00,2013-01-04,17:07:19,Ride,"01/04/2013 Celbridge, Kildare, Ireland",27.9779,67.01666666666667,74.68333333333334,25.0488,39.2868,33.6,161.0,174.0,92.0,,0,96.1,0,0,0,0,1,"[53.3388391, -6.5521101]","[53.3388396, -6.5523304]",a35816261,ovpdIru~f@nA?bBrIkCjRgO{Jw[bhA?fm@cVzOjHfY{Jrg@jCvBjCzOg@~Hf@~HsDzOcLfkAcGzO{E~W?nd@wGj\{@jRnFbe@wBnUnAfTnPvcAbGjWSjMnFr{@rNnx@rDreAjk@?v[vLr]vVj\vLfTbBvQkCvVbG~MoKni@sXvLwBbQ_]vVnA~RwG_DgOotBwjEo_@syA_Nco@kCwt@oKsv@wG{w@{@k\jCcj@cBsI{OwVjCoUS{J{EkWgOoUoPwj@kRsb@kMgOvBwVcBcG{@R,2013-01-04,1
